2014-01-30 11:14:28	admin	http://landl/	Parse Error: 	syntax error, unexpected '}' (line 50 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/head.inc)
2014-01-30 11:22:33	admin	http://landl/	Parse Error: 	syntax error, unexpected 'foreach' (T_FOREACH), expecting ',' or ';' (line 59 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/head.inc)
2014-01-30 12:32:12	admin	http://landl/practice/	Parse Error: 	syntax error, unexpected 'person' (T_STRING), expecting ',' or ';' (line 43 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/practice.php)
2014-01-30 14:28:16	admin	http://landl/projects/	Parse Error: 	syntax error, unexpected 'YO' (T_STRING) (line 7 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/projects.php)
2014-01-30 14:28:21	admin	http://landl/projects/	Parse Error: 	syntax error, unexpected 'YO' (T_STRING) (line 7 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/projects.php)
2014-01-30 15:53:36	admin	http://landl/practice/	Parse Error: 	syntax error, unexpected '}' (line 68 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/practice.php)
2014-01-31 10:37:43	admin	http://landl/projects/	Parse Error: 	syntax error, unexpected ';', expecting '}' (line 28 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/projects.php)
2014-01-31 11:20:52	admin	http://landl/projects/	Parse Error: 	syntax error, unexpected '}' (line 23 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/projects.php)
2014-01-31 11:21:20	admin	http://landl/projects/	Parse Error: 	syntax error, unexpected '}', expecting ',' or ';' (line 25 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/projects.php)
2014-01-31 12:12:41	admin	http://landl/projects/	Parse Error: 	syntax error, unexpected '}', expecting ',' or ';' (line 32 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/projects.php)
2014-01-31 12:12:43	admin	http://landl/projects/	Parse Error: 	syntax error, unexpected '}', expecting ',' or ';' (line 32 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/projects.php)
2014-01-31 12:12:59	admin	http://landl/projects/	Error: 	Call to a member function width() on a non-object (line 31 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/projects.php)
2014-01-31 12:13:03	admin	http://landl/projects/	Error: 	Call to a member function width() on a non-object (line 31 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/projects.php)
2014-01-31 12:13:18	admin	http://landl/projects/	Error: 	Call to a member function width() on a non-object (line 31 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/projects.php)
2014-01-31 12:13:21	admin	http://landl/projects/	Error: 	Call to a member function width() on a non-object (line 31 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/projects.php)
2014-01-31 12:13:55	admin	http://landl/projects/	Error: 	Call to a member function height() on a non-object (line 33 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/projects.php)
2014-01-31 13:17:30	admin	http://landl/projects/bridge-house/	Parse Error: 	syntax error, unexpected '}', expecting ',' or ';' (line 51 of /Users/sean/Dropbox/Sites/landl/pw/site/templates/head.inc)
2014-02-02 09:46:57	?	http://landl/?/	Error: 	Exception: DB connect error 2005 - Unknown MySQL server host 'Config' (2) (in /Users/sean/Dropbox/Sites/landl/pw/wire/core/ProcessWire.php line 96)
2014-02-02 09:47:02	?	http://landl/?/	Error: 	Exception: DB connect error 2005 - Unknown MySQL server host 'Config' (2) (in /Users/sean/Dropbox/Sites/landl/pw/wire/core/ProcessWire.php line 96)
2014-02-02 09:47:04	?	http://landl/?/	Error: 	Exception: DB connect error 2005 - Unknown MySQL server host 'Config' (2) (in /Users/sean/Dropbox/Sites/landl/pw/wire/core/ProcessWire.php line 96)
2014-02-02 09:47:38	?	http://landl/?/	Error: 	Exception: DB connect error 2005 - Unknown MySQL server host 'Config' (2) (in /Users/sean/Dropbox/Sites/landl/pw/wire/core/ProcessWire.php line 96)
2014-02-02 09:47:38	?	http://landl/?/	Error: 	Exception: DB connect error 2005 - Unknown MySQL server host 'Config' (2) (in /Users/sean/Dropbox/Sites/landl/pw/wire/core/ProcessWire.php line 96)
2014-02-02 09:47:40	?	http://landl/?/	Error: 	Exception: DB connect error 2005 - Unknown MySQL server host 'Config' (2) (in /Users/sean/Dropbox/Sites/landl/pw/wire/core/ProcessWire.php line 96)
